3e-07,5.50548e-10,7.90505e-11,5.56194e-10,0.14261
2.4e-06,1.75841e-08,7.56202e-11,1.75843e-08,0.00430046
3.4e-06,2.55418e-08,7.45303e-11,2.5542e-08,0.00291796
3.6e-06,2.85663e-08,7.44351e-11,2.85664e-08,0.00260569
0,-3.44514e-10,7.84527e-11,3.53334e-10,2.91769
3.8e-06,3.08701e-08,7.3273e-11,3.08702e-08,0.00237359
6e-07,4.69306e-09,7.89048e-11,4.69372e-09,0.0168115
9e-07,7.47037e-09,7.6745e-11,7.47076e-09,0.0102729
1.2e-06,7.86148e-09,7.65252e-11,7.86185e-09,0.00973389
2.1e-06,1.55868e-08,7.45344e-11,1.55869e-08,0.00478187
1.8e-06,1.49546e-08,7.55528e-11,1.49548e-08,0.00505209
2.7e-06,2.19676e-08,7.48563e-11,2.19678e-08,0.00340756
4.2e-06,3.17347e-08,7.29555e-11,3.17348e-08,0.00229891
4e-06,3.1469e-08,7.24594e-11,3.1469e-08,0.00230256
1.5e-06,1.10925e-08,7.72383e-11,1.10928e-08,0.00696297
3e-06,2.35112e-08,7.32493e-11,2.35113e-08,0.00311549
4.6e-06,3.65241e-08,7.39452e-11,3.65241e-08,0.00202456
4.4e-06,3.34996e-08,7.39404e-11,3.34997e-08,0.0022072
3.2e-06,2.3777e-08,7.36454e-11,2.37771e-08,0.00309733
4.8e-06,3.88279e-08,7.28831e-11,3.88279e-08,0.00187708
2.5e-06,1.90503e-08,7.56982e-11,1.90504e-08,0.00397357
4e-07,1.6686e-09,7.93e-11,1.67049e-09,0.047489
7e-07,6.05214e-09,7.82361e-11,6.05265e-09,0.0129263
1e-06,7.59572e-09,7.63291e-11,7.59611e-09,0.0100486
1.9e-06,1.54281e-08,7.49054e-11,1.54283e-08,0.00485508
2.8e-06,2.29124e-08,7.41629e-11,2.29125e-08,0.00323679
1e-07,-3.25939e-10,7.84858e-11,3.35256e-10,2.90529
4.3e-06,3.23815e-08,7.34909e-11,3.23816e-08,0.00226953
4.7e-06,3.78831e-08,7.34765e-11,3.78832e-08,0.00193955
3.5e-06,2.7008e-08,7.46585e-11,2.70081e-08,0.0027643
2.2e-06,1.58192e-08,7.48353e-11,1.58194e-08,0.00473062
3.7e-06,2.99254e-08,7.39161e-11,2.99255e-08,0.00247001
4.1e-06,3.15023e-08,7.25546e-11,3.15023e-08,0.00230315
1.6e-06,1.26508e-08,7.69149e-11,1.2651e-08,0.00607976
1.3e-06,8.5083e-09,7.69104e-11,8.50864e-09,0.00903921
3.9e-06,3.13436e-08,7.27256e-11,3.13437e-08,0.00232026
3.3e-06,2.44238e-08,7.41306e-11,2.44239e-08,0.00303517
4.9e-06,3.93014e-08,7.23904e-11,3.93014e-08,0.00184193
3.1e-06,2.35445e-08,7.32947e-11,2.35446e-08,0.00311302
4.5e-06,3.49658e-08,7.41184e-11,3.49659e-08,0.00211974
5e-07,3.1348e-09,7.9278e-11,3.1358e-09,0.0252842
1.4e-06,9.62635e-09,7.72101e-11,9.62666e-09,0.00802053
1.7e-06,1.40099e-08,7.62959e-11,1.40101e-08,0.00544581
2e-07,-9.62656e-11,7.87151e-11,1.24351e-10,2.45616
2.9e-06,2.33859e-08,7.35652e-11,2.3386e-08,0.0031457
2.6e-06,2.06086e-08,7.5425e-11,2.06087e-08,0.00365987
2.3e-06,1.6466e-08,7.52707e-11,1.64662e-08,0.00457124
8e-07,6.99688e-09,7.74427e-11,6.99731e-09,0.0110677
1.1e-06,7.62901e-09,7.62745e-11,7.62939e-09,0.00999763
2e-06,1.55535e-08,7.45392e-11,1.55536e-08,0.00479241
